Barcode,Name,Quantity,Description,Type,Date
"00978927","Personal","1","","EAN_8","2020-09-13T01:46:00-04:00"
"041415028388","Personal","1","","UPC_A","2020-09-13T01:46:04-04:00"
"00502375","Personal","1","","EAN_8","2020-09-13T01:46:43-04:00"
"042421161328","Personal","1","","UPC_A","2020-09-13T01:46:51-04:00"
"00632812","Personal","1","","EAN_8","2020-09-13T01:46:55-04:00"
"041500805023","Personal","1","","UPC_A","2020-09-13T01:46:57-04:00"
"683744963833","Personal","1","","UPC_A","2020-09-13T01:47:00-04:00"
"00471954","Personal","1","","EAN_8","2020-09-13T01:47:02-04:00"
"055437624602","Personal","1","","UPC_A","2020-09-13T01:47:08-04:00"
"00264266","Personal","1","","EAN_8","2020-09-13T01:47:11-04:00"
"049733950114","Personal","1","","UPC_A","2020-09-13T01:47:14-04:00"
"073731060001","Personal","1","","UPC_A","2020-09-13T01:47:17-04:00"
"027000523889","Personal","1","","UPC_A","2020-09-13T01:47:25-04:00"
"00014823","Personal","1","","EAN_8","2020-09-13T01:47:32-04:00"
"023896451800","Personal","1","","UPC_A","2020-09-13T01:47:39-04:00"
"00515245","Personal","1","","EAN_8","2020-09-13T01:47:47-04:00"
"688267155888","Personal","1","","UPC_A","2020-09-13T01:47:53-04:00"
"00618984","Personal","1","","EAN_8","2020-09-13T01:48:00-04:00"
"029200007718","Personal","1","","UPC_A","2020-09-13T01:48:09-04:00"
"00928359","Personal","1","","EAN_8","2020-09-13T01:48:32-04:00"
"00910132","Personal","1","","EAN_8","2020-09-13T01:49:42-04:00"
"041196011128","Personal","1","","UPC_A","2020-09-13T01:49:46-04:00"
"084253240383","Personal","1","","UPC_A","2020-09-13T01:49:49-04:00"
"786409000017","Personal","1","","UPC_A","2020-09-13T01:49:51-04:00"
"00593298","Personal","1","","EAN_8","2020-09-13T01:49:55-04:00"
"00208291","Personal","1","","EAN_8","2020-09-13T01:49:58-04:00"
"041196458930","Personal","1","","UPC_A","2020-09-13T01:50:01-04:00"
"051000199553","Personal","1","","UPC_A","2020-09-13T01:50:03-04:00"
"041196492323","Personal","1","","UPC_A","2020-09-13T01:50:06-04:00"
"039400018780","Personal","1","","UPC_A","2020-09-13T01:50:09-04:00"
"041331124225","Personal","1","","UPC_A","2020-09-13T01:50:14-04:00"
"042272006274","Personal","2","","UPC_A","2020-09-13T01:50:18-04:00"
"042272005833","Personal","1","","UPC_A","2020-09-13T01:50:28-04:00"
"051000253026","Personal","1","","UPC_A","2020-09-13T01:50:33-04:00"
"050428427439","Personal","1","","UPC_A","2020-09-13T03:22:47-04:00"
"019800702519","Personal","1","","UPC_A","2020-09-13T03:23:06-04:00"
"021078020431","Personal","1","","UPC_A","2020-09-13T03:23:24-04:00"
